player_id,player_name,pass_success,pass_cross_accurate,pass_long_ball_accurate,pass_through_ball_accurate,minutes_played,matches_played,PVS,rating,cross_accuracy,pass_success_accuracy,long_ball_accuracy,through_ball_accuracy,Cluster
143595,Tomás Soucek,1684.6,38.0,1684.6,70.0,1753,23,272.8521739130435,6.818260869565217,38.0,73.24347826086957,73.24347826086957,70.0,2
426050,Nicolas Jackson,1723.1,63.0,1723.1,14.0,1751,23,276.17826086956524,7.063478260869566,63.0,74.91739130434782,74.91739130434782,14.0,2
148503,Ollie Watkins,1864.0,63.0,1864.0,32.0,1742,25,270.846,6.7592,63.0,74.56,74.56,32.0,1
297390,Manuel Akanji,1878.4,10.0,1878.4,24.0,1710,20,311.0,6.4254999999999995,10.0,93.92,93.92,24.0,0
319756,Lucas Paquetá,1755.8,35.0,1755.8,29.0,1705,23,272.9934782608696,6.54304347826087,35.0,76.3391304347826,76.3391304347826,29.0,1
110290,Joël Veltman,1521.1,6.0,1521.1,22.0,1647,19,282.62894736842105,6.705263157894737,6.0,80.0578947368421,80.0578947368421,22.0,0
113880,Kepa,1244.0,0.0,1244.0,4.0,1620,18,244.63333333333333,6.930000000000001,0.0,69.11111111111111,69.11111111111111,4.0,1
122714,José Sá,1022.9,0.0,1022.9,8.0,1620,18,209.13055555555556,6.341111111111111,0.0,56.827777777777776,56.827777777777776,8.0,1
362426,Arijanet Muric,1226.8,0.0,1226.8,11.0,1620,18,239.13888888888889,6.586666666666667,0.0,68.15555555555555,68.15555555555555,11.0,1
436048,Carlos Baleba,1831.5,30.0,1831.5,25.0,1612,21,306.1928571428572,6.941428571428572,30.0,87.21428571428571,87.21428571428571,25.0,2
136459,Dominic Solanke,1274.6,46.0,1274.6,33.0,1601,18,266.84444444444443,7.070555555555555,46.0,70.8111111111111,70.8111111111111,33.0,2
141469,Dominic Calvert-Lewin,1452.8,46.0,1452.8,84.0,1582,22,246.95,6.593181818181819,46.0,66.03636363636363,66.03636363636363,84.0,1
409426,Mads Hermansen,1041.0,0.0,1041.0,3.0,1576,18,213.91944444444445,6.671111111111111,0.0,57.833333333333336,57.833333333333336,3.0,1
86441,Lewis Dunk,1739.7,10.0,1739.7,40.0,1561,19,307.7342105263158,6.467368421052631,10.0,91.56315789473685,91.56315789473685,40.0,0
350088,Callum Hudson-Odoi,1840.9,28.0,1840.9,1.0,1559,21,302.83809523809526,6.924285714285714,28.0,87.66190476190476,87.66190476190476,1.0,2
342877,Joe Aribo,2078.2,14.0,2078.2,20.0,1555,24,293.28333333333336,6.47625,14.0,86.59166666666665,86.59166666666665,20.0,0
413211,Anthony Elanga,1896.7,30.0,1896.7,17.0,1555,25,270.922,6.7692,30.0,75.868,75.868,17.0,1
343501,Sandro Tonali,1974.4,22.0,1974.4,8.0,1553,23,291.91521739130434,6.648260869565218,22.0,85.84347826086957,85.84347826086957,8.0,0
345957,Ibrahima Konaté,1703.8,11.0,1703.8,57.0,1538,19,313.0289473684211,6.923157894736842,11.0,89.67368421052632,89.67368421052632,57.0,2
363686,Emile Smith Rowe,2064.2,29.0,2064.2,5.0,1532,23,303.42826086956524,6.660869565217391,29.0,89.74782608695651,89.74782608695651,5.0,0
316858,Aaron Ramsdale,1049.1,0.0,1049.1,5.0,1530,17,222.57941176470587,6.608235294117647,0.0,61.711764705882345,61.711764705882345,5.0,1
379688,Brennan Johnson,1721.0,45.0,1721.0,7.0,1523,22,279.51363636363635,6.874545454545455,45.0,78.22727272727273,78.22727272727273,7.0,2
114147,Alisson Becker,1375.6,0.0,1375.6,5.0,1519,17,273.4970588235294,6.792941176470588,0.0,80.91764705882352,80.91764705882352,5.0,2
